"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"3300055390_1066__dereplicated_genomes","d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__DTFT01;g__;s__","-","-","-","-","-","GCA_016933415.1","d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__DTFT01;g__JAFGAX01;s__JAFGAX01 sp016933415","76.88","0.208","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","91.16","0.82219","-"
"3300055390_1067__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002256705.1, s__KS41 sp002256705, ...","87.31","0.9573","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_1068__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","72.02","0.84189","-"
"3300055390_1070__dereplicated_genomes","d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__JACRGL01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","84.13","0.74306","-"
"3300055390_1082__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.64","0.7618","-"
"3300055390_1093__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__JAKAFS01;s__","-","-","-","-","-","GCA_021817825.1","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__JAKAFS01;s__JAKAFS01 sp021817825","79.11","0.361","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_903928915.1, s__JAKAFS01 sp9039289...","70.51","0.93207","-"
"3300055390_1095__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__Fen-1364;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","62.42","0.86017","-"
"3300055390_1097__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_022865725.1, s__Methyloceanibacter...","78.41","0.92133","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_1105__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGIC01;s__","-","-","-","-","-","GCA_016929815.1","d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGIC01;s__JAFGIC01 sp016929815","78.07","0.284","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","81.93","0.9368","-"
"3300055390_1110__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__","-","-","-","-","-","GCA_017860375.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__UBA5072 sp017860375","81.68","0.622","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016928305.1, s__UBA5072 sp01692830...","84.67","0.97763","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_1133__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__;s__","-","-","-","-","-","GCA_020073205.1","d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__JAIQFR01;s__JAIQFR01 sp020073205","76.69","0.15","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","81.51","0.764","-"
"3300055390_1146__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__RBG-16-64-43;g__JAFGKK01;s__","-","-","-","-","-","GCA_016932475.1","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__RBG-16-64-43;g__JAFGKK01;s__JAFGKK01 sp016932475","80.02","0.586","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016928575.1, s__JAFGKK01 sp0169285...","79.05","0.953","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_1154__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__JAFDGP01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","65.14","0.88676","-"
"3300055390_1181__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__FEN-336;s__","-","-","-","-","-","GCA_003155335.1","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__FEN-336;s__FEN-336 sp003155335","77.73","0.259","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","64.63","0.87265","-"
"3300055390_119__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__VXMN01;f__VXMN01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","76.27","0.76619","-"
"3300055390_1260__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__VGIY01;s__","-","-","-","-","-","GCA_016867695.1","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__VGIY01;s__VGIY01 sp016867695","78.51","0.323","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","83.5","0.89518","-"
"3300055390_1318__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__WS-2;s__","-","-","-","-","-","GCA_005893185.1","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__WS-2;s__WS-2 sp005893185","78.59","0.332","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","67.71","0.87615","-"
"3300055390_1329__dereplicated_genomes","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","64.17","0.824","-"
"3300055390_139__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__;s__","-","-","-","-","-","GCA_003170135.1","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__Fen-181;s__Fen-181 sp003170135","77.75","0.27","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","56.44","0.81554","-"
"3300055390_151__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","58.75","0.69933","-"
"3300055390_157__dereplicated_genomes","d__Bacteria;p__JAGLYR01;c__JAGLYR01;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","72","0.51044","-"
"3300055390_165__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","66.34","0.83616","Genome has more than 19.2% of markers with multiple hits"
"3300055390_173__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","81.79","0.88794","-"
"3300055390_177__dereplicated_genomes","d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","70.17","0.52249","Genome has more than 10.0% of markers with multiple hits"
"3300055390_178__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__UBA6906;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","80.36","0.8785","-"
"3300055390_185__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA2199;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_018262835.1, s__UBA2199 sp01826283...","70.82","0.92543","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_196__dereplicated_genomes","d__Bacteria;p__Armatimonadota;c__CAIYQO01;o__WVXJ01;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","79.09","0.73485","-"
"3300055390_198__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA2199;s__","-","-","-","-","-","GCA_016934745.1","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA2199;s__UBA2199 sp016934745","79.08","0.524","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002436105.1, s__UBA2199 sp00243610...","93.8","0.92092","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_212__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.13","0.83798","-"
"3300055390_229__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","69.41","0.82906","-"
"3300055390_235__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","70.82","0.92029","-"
"3300055390_240__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__JAFGXF01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","82.18","0.96662","-"
"3300055390_286__dereplicated_genomes","d__Bacteria;p__JAGLYR01;c__JAGLYR01;o__JAGLYR01;f__JAGLYR01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.05","0.81545","-"
"3300055390_290__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__SM23-61;o__SM23-61;f__SM23-61;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","74.64","0.7385","Genome has more than 11.7% of markers with multiple hits"
"3300055390_291__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__B64-G9;o__B64-G9;f__B64-G9;g__;s__","-","-","-","-","-","GCA_012798435.1","d__Bacteria;p__Myxococcota;c__B64-G9;o__B64-G9;f__B64-G9;g__JAAZNF01;s__JAAZNF01 sp012798435","78.63","0.374","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","80.93","0.77017","-"
"3300055390_316__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Fen-1064;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","66.87","0.91215","-"
"3300055390_318__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","92.81","0.87662","-"
"3300055390_333__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","83.57","0.82974","-"
"3300055390_368__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__","-","-","-","-","-","GCA_017860675.1","d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__CTSoil-043 sp017860675","83.92","0.609","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_021802585.1, s__CTSoil-043 sp02180...","76.5","0.95382","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_382__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__Velamenicoccales;f__JABMQK01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","67.23","0.82854","-"
"3300055390_384__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","79.92","0.53501","-"
"3300055390_401__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__","-","-","-","-","-","GCA_022866545.1","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__RBG-13-51-36 sp022866545","85.43","0.656","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_903884455.1, s__RBG-13-51-36 sp903...","71.06","0.97385","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_408__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__JADJWR01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016716275.1, s__JADJWR01 sp0167162...","71.9","0.95206","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_422__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA877;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_009772985.1, s__UBA877 sp009772985...","77.36","0.94117","-"
"3300055390_428__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","95.71","0.88873","-"
"3300055390_445__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__VGIY01;s__","-","-","-","-","-","GCA_016867695.1","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__CAIMUX01;f__WJJG01;g__VGIY01;s__VGIY01 sp016867695","78.19","0.366","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","85.3","0.89273","-"
"3300055390_462__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Fen-1087;g__Fen-1087;s__","-","-","-","-","-","GCA_003161855.1","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Fen-1087;g__Fen-1087;s__Fen-1087 sp003161855","79.07","0.409","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","80.02","0.89606","-"
"3300055390_463__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__UBA3940;g__JAFGMS01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","77.66","0.91841","-"
"3300055390_466__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__JALHUF01;s__","-","-","-","-","-","GCA_022866195.1","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__JALHUF01;s__JALHUF01 sp022866195","80.75","0.606","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","83.28","0.91639","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_482__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_022865305.1, s__LD21 sp022865305, ...","85.9","0.93812","-"
"3300055390_486__dereplicated_genomes","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__","-","-","-","-","-","GCA_017885175.1","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__SSS58A sp017885175","78.78","0.45","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002403295.1, s__SSS58A sp002403295...","83.22","0.90985","-"
"3300055390_491__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__PLanc-01;s__","-","-","-","-","-","GCA_016928975.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__PLanc-01;s__PLanc-01 sp016928975","83.88","0.644","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_023481165.1, s__PLanc-01 sp0234811...","68","0.97176","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_492__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__UBA11986;s__","-","-","-","-","-","GCA_003541875.1","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__UBA11986;s__UBA11986 sp003541875","78.51","0.313","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","80.52","0.93134","-"
"3300055390_502__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","61.37","0.92152","-"
"3300055390_516__dereplicated_genomes","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__","-","-","-","-","-","GCA_017885175.1","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__SSS58A sp017885175","78.04","0.304","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002403075.1, s__SSS58A sp002403075...","65.34","0.88737","-"
"3300055390_536__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__JACPNS01;g__JACPNS01;s__","-","-","-","-","-","GCA_016213645.1","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__JACPNS01;g__JACPNS01;s__JACPNS01 sp016213645","80.38","0.584","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016219715.1, s__JACPNS01 sp0162197...","90.92","0.93831","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300055390_548__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","74.62","0.72972","-"
"3300055390_572__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp002256705","GCA_002256705.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp002256705","96.59","0.776","GCA_002256705.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp002256705","96.59","0.776","ani_screen","classification based on ANI only","GCA_002256465.1, s__KS41 sp002256465, ...","59.72","-","-"
"3300055390_575__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAFNAG01;s__","-","-","-","-","-","GCA_020072565.1","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAFNAG01;s__JAFNAG01 sp020072565","77.02","0.077","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","70.39","0.91034","-"
"3300055390_580__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.6","0.83255","-"
