Function ID	Function Name	Soil microbial communitie 3300051019	Soil microbial communitie 3300051162	Soil microbial communitie 3300051161	Soil microbial communitie 3300051208	Soil microbial communitie 3300051207	Soil microbial communitie 3300051206	Soil microbial communitie 3300052722	Soil microbial communitie 3300052920	Soil microbial communitie 3300052919	Soil microbial communitie 3300056874	Soil microbial communitie 3300056859	Soil microbial communitie 3300056873	Soil microbial communitie 3300056968	Soil microbial communitie 3300056860	Soil microbial communitie 3300056967	Soil microbial communitie 3300060290	Soil microbial communitie 3300056875	Soil microbial communitie 3300056969	Soil microbial communitie 3300056594	Soil microbial communitie 3300056862	Soil microbial communitie 3300056861	Soil microbial communitie 3300056611	Soil microbial communitie 3300056619	Soil microbial communitie 3300056620	Soil microbial communitie 3300056618	Soil microbial communitie 3300056612	Soil microbial communitie 3300056595	Soil microbial communitie 3300060274	Soil microbial communitie 3300061209	Soil microbial communitie 3300061208	Soil microbial communitie 3300060272	Soil microbial communitie 3300060271	Soil microbial communitie 3300060275	Soil microbial communitie 3300060276	Soil microbial communitie 3300061215	Soil microbial communitie 3300061210	
KO:K00013	histidinol dehydrogenase [EC:1.1.1.23]	10180	5990	4633	4979	6492	8138	7933	9005	6400	9878	2449	4982	7372	6047	6673	4293	4174	6202	7367	6640	4477	7410	7275	4404	8386	5858	5185	4017	10379	8624	2817	4647	5069	5140	8937	6644	
KO:K00014	shikimate dehydrogenase [EC:1.1.1.25]	7397	4289	3655	4462	6078	8023	6222	7412	6163	7618	1787	4305	6211	6634	7147	3212	3570	6386	5623	5754	4095	5277	5772	3591	6000	5558	5275	4225	8949	8992	2165	4388	4485	4046	7404	6807	
KO:K00015	glyoxylate reductase [EC:1.1.1.26]	5074	2976	1872	1701	2535	2600	3207	3530	1810	4645	1134	1846	3360	2423	2912	2111	1590	2503	3282	2909	1803	4505	3345	1933	6228	2292	2097	1606	4402	2954	1316	2261	2082	2028	3559	2897	
KO:K00016	L-lactate dehydrogenase [EC:1.1.1.27]	1952	1201	960	901	1066	1284	1282	1680	1102	1967	351	1213	1517	1275	1440	720	1050	1158	1550	1332	1066	1264	1310	696	1656	1147	1050	930	2450	1674	684	968	1271	1120	2063	1169	
KO:K00018	glycerate dehydrogenase [EC:1.1.1.29]	867	622	483	885	1304	1689	983	1166	1351	589	192	727	595	1260	1450	320	491	1234	613	803	766	321	816	587	283	986	1157	962	1122	1896	301	732	659	494	1115	1229	
KO:K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	1563	898	710	1304	2219	2834	1296	1680	1452	2083	874	1166	1566	2484	3012	1142	998	3283	1399	1813	1869	627	2352	1680	845	1900	2008	1608	1740	2607	540	1582	1067	1018	1754	2962	
KO:K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	3379	1935	1702	3374	5505	7327	2946	3960	4134	4289	1273	2712	2752	5845	7172	2107	1965	6654	2091	4095	4132	1147	4125	3544	2097	4138	5251	3749	3741	6789	896	3777	2367	1780	4008	6839	
KO:K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	1721	1199	1122	1151	1395	1612	1685	2011	1282	1458	433	771	1604	1265	1289	746	839	1170	1416	1289	962	837	1329	933	708	1234	1033	969	2589	2084	756	1108	1444	1119	2002	1199	
KO:K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	10	18	16	4	20	12	12	26	20	10	0	0	30	21	6	15	9	10	61	8	0	9	36	25	0	13	17	0	28	21	0	42	0	8	50	22	
KO:K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	559	409	338	1037	1660	2326	626	874	1484	892	428	792	663	2004	2222	559	635	2413	576	1271	1393	23	1353	1081	239	1310	1640	1430	986	2344	211	1344	694	364	1030	2079	
KO:K00024	malate dehydrogenase [EC:1.1.1.37]	9908	6333	4845	4781	6638	7793	7526	8171	5621	9130	2680	5238	7781	7135	7732	4883	4867	7012	7306	7325	5578	8490	7878	5255	9879	6094	5933	4811	10331	8959	3113	5565	5411	5371	8652	7245	
KO:K00026	malate dehydrogenase [EC:1.1.1.37]	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
KO:K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	12215	8505	5782	4246	4866	5013	8949	9294	4303	11407	3839	4804	9377	4679	5018	5898	5046	4218	9054	7821	3800	10367	8872	4910	11797	5698	3775	3248	12003	6474	4412	4603	6308	6821	9554	4504	
KO:K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	4013	2928	3242	6064	8589	11765	5204	7265	8189	5175	1717	5486	4558	9107	10224	2837	3520	9928	3676	6619	6946	1981	5588	4876	2986	6727	7896	6639	7855	13025	2054	6340	4549	3426	7062	9607	
KO:K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	4888	2518	1527	1474	2038	2686	2463	2738	1681	3893	592	1663	2795	2154	2508	1409	1229	2120	3343	2136	1680	4170	2651	1558	5307	1964	1824	1547	3275	2706	918	1618	1569	1450	2804	2539	
KO:K00031	isocitrate dehydrogenase [EC:1.1.1.42]	8221	6017	4965	5866	7868	9704	7701	8766	7091	9300	2939	6399	8081	8639	10149	4745	5585	8681	6646	8530	6686	5223	8850	5811	6258	7574	7091	6140	11073	11937	3637	7050	6545	5430	10110	9623	
KO:K00032	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	25	10	12	0	13	0	5	28	0	0	0	4	8	0	9	0	7	0	10	0	8	17	14	10	0	0	0	0	5	6	0	0	0	5	26	0	
KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	8177	5100	4408	5060	7194	8461	6813	7881	6102	7907	1863	6159	6583	7860	8136	3562	4574	7380	5845	6747	4973	5407	6869	4484	6452	6683	6218	4971	9782	9750	2606	5118	5126	4700	8976	7842	
KO:K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	2104	1504	1065	1157	1808	1978	1824	2143	1374	1797	429	1222	1823	1782	2108	810	859	1820	1596	1494	1159	903	1456	884	1192	1501	1435	1073	2686	2288	616	1122	1029	1204	2102	1799	
KO:K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	14	0	0	4	50	104	20	6	14	4	0	6	0	55	95	0	6	46	10	23	50	6	13	11	16	8	19	23	4	50	0	15	0	0	0	64	
KO:K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	7101	4909	4724	6260	9291	11463	7231	8995	8242	7165	1850	6761	6320	9734	11250	3455	4622	10680	5316	7844	6806	4650	7346	5755	5303	7943	8405	6524	10484	12335	2704	6685	5429	4758	9598	10220	
KO:K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	184	149	103	271	501	643	136	230	262	326	45	124	195	441	573	137	80	646	60	199	171	146	229	170	186	250	400	276	146	503	24	164	122	101	169	430	
KO:K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	56	13	11	27	21	75	18	40	23	44	0	11	13	43	58	15	19	52	19	45	35	26	32	17	40	22	92	17	32	70	4	34	14	13	14	38	
KO:K00040	fructuronate reductase [EC:1.1.1.57]	19	29	62	238	408	546	122	121	278	74	8	104	35	367	384	26	66	472	11	131	179	22	51	58	7	227	296	192	140	491	9	124	81	12	151	406	
KO:K00041	tagaturonate reductase [EC:1.1.1.58]	144	59	25	114	91	169	58	193	162	58	9	128	78	114	118	15	74	119	81	116	94	72	74	58	87	90	88	81	170	181	38	63	80	68	170	125	
KO:K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	4640	3032	1843	1746	2092	2454	2874	2942	1916	4297	973	1926	3230	2264	2480	1764	1618	2346	3208	2636	1565	3343	3449	1796	4876	2378	1912	1414	3963	3237	1270	1811	2215	2085	3359	2369	
KO:K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	289	259	167	126	212	377	311	289	215	444	174	160	258	314	198	248	112	367	218	217	180	153	301	131	288	213	164	144	348	422	80	206	215	139	345	260	
KO:K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	107	43	31	28	85	146	58	30	31	68	12	61	38	91	168	25	19	106	96	42	53	11	55	8	31	51	93	71	72	113	0	44	16	21	102	104	
KO:K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	1986	1242	763	599	837	1332	1195	1197	838	1860	366	657	1087	945	1243	713	531	1064	1457	1086	515	1307	1121	495	1617	797	793	634	1470	1475	415	604	724	626	1141	1008	
KO:K00048	lactaldehyde reductase [EC:1.1.1.77]	6	16	11	0	0	6	15	9	24	33	18	9	20	13	38	21	34	0	32	7	11	30	8	16	42	8	0	0	59	19	36	9	20	4	16	18	
KO:K00049	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
KO:K00050	hydroxypyruvate reductase [EC:1.1.1.81]	97	46	42	332	382	762	201	191	345	126	40	104	151	449	545	84	63	671	114	292	327	0	312	244	0	326	449	339	151	527	4	278	122	25	173	441	
KO:K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	10816	6442	4627	5651	7671	9584	7634	8949	6512	11260	2828	6924	8690	8457	9285	5000	5563	8646	8302	8314	6362	9204	8851	5822	10857	7373	7405	5694	10770	10810	3043	6133	6027	5724	9855	8598	
KO:K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	11782	6885	5661	5332	7198	8252	8435	9338	6862	11745	3414	6616	9519	8354	9067	5204	5722	8094	9124	9080	6459	9125	9930	6108	10574	7429	6352	5553	11991	10565	3754	6574	6509	6357	10712	8451	
KO:K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	5118	3081	1939	1078	1138	1120	2817	2998	1002	3505	829	1220	2851	1046	1121	1756	1408	862	2886	2036	889	5083	2578	1281	5813	1326	942	722	3797	1684	1222	1218	2108	2093	2841	949	
KO:K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	1989	1367	650	569	777	681	1106	1210	559	2303	651	837	1574	693	947	1041	831	756	1407	1115	605	1280	1486	689	1892	827	684	431	1596	1069	566	604	875	895	1303	811	
KO:K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	6509	3688	2929	3734	5150	6988	5481	6323	4975	6322	1336	3819	4839	4844	5437	2565	2863	5490	4831	4909	3729	4684	4321	3050	5643	4108	4577	3390	7132	7252	1716	3370	3456	3046	6020	5519	
KO:K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	25661	15915	11121	10264	13990	15938	18036	19339	11663	23501	6564	11616	18351	14172	16780	11255	10648	14934	17908	16747	10682	18102	18127	10757	21842	12888	11522	9092	23992	18831	6943	11487	12197	13023	20717	15291	
KO:K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	45792	26414	16237	17792	27476	34817	29548	31224	21166	43687	10812	18824	31889	27839	33356	19035	16718	31095	32900	27065	19538	32411	31313	18675	43264	22589	22998	17614	40364	35534	10492	19173	18978	19789	34571	31361	
KO:K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	4381	2586	1705	1993	2469	3491	2898	3101	2438	3613	835	1980	2788	2748	3085	1421	1595	3147	2820	2496	1802	3327	2889	1715	3679	2225	2136	1861	3741	3235	1047	1924	2066	1692	3165	2865	
KO:K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	309	162	146	206	515	682	204	320	226	439	71	194	208	491	615	141	117	622	182	254	316	95	358	207	116	228	387	303	317	571	61	257	146	89	281	627	
KO:K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	4934	2861	1671	1243	2032	2222	2903	2795	1625	4721	1099	1659	3531	1895	2427	2156	1704	1977	3581	2564	1462	3464	3066	1625	4672	1849	1597	1188	4509	2454	1186	1535	1886	2234	3516	1704	
KO:K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	629	422	184	207	426	562	450	368	189	669	138	288	458	550	664	251	207	590	499	443	378	617	455	361	650	287	412	239	580	458	106	300	211	260	443	586	
KO:K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	10463	6250	3720	3575	5222	6777	6794	7887	4999	9060	2021	4563	6634	5459	6352	3739	3702	5395	6877	5992	3668	7282	6389	3362	9109	4598	4776	3875	10305	7720	2330	3778	4294	4624	8195	5356	
KO:K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	911	614	444	245	345	383	726	646	346	725	209	311	656	305	259	266	323	276	574	352	224	391	449	196	460	262	226	155	815	497	244	337	445	443	729	237	
KO:K00069	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	24	16	0	0	4	0	0	0	0	17	0	0	0	0	0	0	0	6	22	0	0	48	0	0	57	0	0	0	0	0	0	0	0	0	0	0	
KO:K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	684	253	197	193	223	233	314	466	189	435	105	340	366	286	212	180	204	237	467	256	156	555	214	138	611	247	206	108	492	253	117	129	210	216	397	285	
KO:K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	19968	12544	8453	6483	9002	10564	13885	13872	7101	20849	5536	7841	15939	9304	10943	10245	8253	9208	15020	12631	6915	15998	15421	7920	20989	9173	7449	5832	18713	12284	6159	7946	9608	11007	15525	9591	
KO:K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	7408	4676	3047	3418	4571	5847	6065	5936	4512	6786	1661	3494	5149	4496	5046	2902	2896	4542	5227	4313	3441	4772	5004	3026	5892	4261	3809	2848	7554	6127	1803	3377	3461	3448	6151	4704	
KO:K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	559	457	398	304	464	783	568	623	370	691	178	186	613	317	329	282	225	621	387	436	215	214	371	188	245	341	344	296	688	609	183	264	340	418	555	417	
KO:K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	11691	7943	5121	4928	7237	8793	8903	9905	5456	11787	2991	5770	9159	7698	8572	5386	4827	8267	8219	7840	5519	7873	8914	5465	9723	6863	6548	4369	12605	9365	3436	5538	6089	6405	10271	8306	
KO:K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	199	104	49	44	78	102	93	149	80	143	33	53	89	76	84	36	14	50	125	93	47	106	82	32	104	20	76	27	173	111	45	50	66	28	123	68	
KO:K00079	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	72	80	57	60	74	99	56	80	34	99	16	40	63	88	57	44	68	80	58	42	50	30	85	45	71	108	44	44	93	75	65	30	43	48	86	51	
KO:K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	13	0	14	0	55	151	16	0	19	33	0	0	10	41	6	10	13	37	14	15	27	8	32	19	7	26	35	17	37	61	0	24	15	4	15	69	
KO:K00086	1,3-propanediol dehydrogenase [EC:1.1.1.202]	39	13	24	14	17	57	55	36	39	48	10	67	9	26	17	10	0	0	17	48	39	13	36	0	19	56	0	56	37	80	37	16	17	9	31	30	
KO:K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	3183	2587	1582	873	1200	1033	2801	2577	786	3268	651	862	2815	1016	1224	1417	1263	1017	2652	1893	921	1964	2350	940	2854	1315	701	661	3556	1578	952	959	1451	1836	2481	1268	
KO:K00088	IMP dehydrogenase [EC:1.1.1.205]	12678	8196	6721	7035	8918	11482	9872	11513	8402	12402	3417	7180	9937	9378	10178	5860	6240	9778	9630	9412	7017	8654	10074	6474	10762	8555	8159	6526	13303	12569	3953	7509	7223	7193	11994	10420	
KO:K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	143	244	295	348	573	781	407	378	576	279	103	386	282	733	715	187	243	662	129	514	348	176	240	398	111	389	541	469	446	839	89	408	372	213	527	628	
KO:K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]	9658	6567	3634	2678	3692	4463	6730	7344	3197	8949	1979	3167	6808	3598	4254	3443	3142	3857	6902	4799	2466	4541	4844	2482	6380	3437	2566	2045	8943	4890	2320	2756	3916	4450	6993	3655	
KO:K00094	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
KO:K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	5777	2730	1907	1233	1301	1188	3215	3382	1216	3794	1036	1384	3066	1205	1336	1608	1478	970	3232	2131	936	4541	2784	1296	5012	1510	912	891	4057	1884	1332	1324	1962	2132	2884	1103	
KO:K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	832	751	754	1692	2446	3213	1492	1758	1959	1427	340	1130	922	2403	2422	569	576	2677	741	1112	1424	289	1243	1092	418	1665	1982	1443	1907	3007	404	1461	896	588	1435	2379	
KO:K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	81	66	142	329	381	779	187	237	495	131	20	192	109	459	492	26	99	687	92	197	449	142	171	233	102	294	418	317	253	830	21	226	107	73	258	532	
KO:K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	8044	4844	3588	3822	5188	6695	6021	6488	4935	8201	2072	4222	5911	5217	6194	3684	3505	5612	5910	5410	3932	5558	5792	3663	7465	4955	4475	3454	7645	7318	2195	3873	3655	3916	6706	5404	
KO:K00100	butanol dehydrogenase [EC:1.1.1.-]	282	101	33	46	0	21	134	106	0	129	11	52	77	84	46	60	65	50	102	73	45	72	77	26	140	52	14	17	155	34	57	64	126	39	89	19	
KO:K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	253	189	243	791	1683	1931	467	607	849	425	231	565	351	1644	2089	219	311	2146	315	873	1077	0	980	920	123	1171	1466	1179	450	1871	150	1038	405	246	724	1954	
KO:K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	2364	1678	1180	1610	2381	3200	1859	2081	1995	2499	784	1326	1921	2365	2570	1295	1201	2841	1708	2079	1868	1427	2364	1604	1842	1959	2126	1729	2356	3062	692	1964	1381	1155	2152	2706	
KO:K00103	L-gulonolactone oxidase [EC:1.1.3.8]	152	151	66	103	137	161	145	193	67	273	66	29	212	150	157	163	109	207	137	230	131	0	311	218	31	120	146	140	191	202	70	186	96	153	167	208	
KO:K00104	glycolate oxidase [EC:1.1.3.15]	19417	12427	8876	7464	8537	9924	14661	15773	8425	19555	5116	8462	16915	9213	9966	8932	8795	8236	14311	12700	6883	15074	13646	7773	18505	9863	7453	5975	20197	12912	5740	7519	9813	10538	16780	8962	
KO:K00106	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	0	0	0	0	15	37	0	25	15	8	0	0	0	4	5	0	0	7	6	0	0	0	3	0	0	0	0	0	0	46	0	0	0	0	0	0	
KO:K00107	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
KO:K00108	choline dehydrogenase [EC:1.1.99.1]	1459	597	768	2462	4931	6189	1295	2097	2759	2786	1318	1471	1685	4495	5250	1643	888	6179	1063	2195	2919	125	2364	2786	565	3108	4063	3011	1869	5420	237	2441	1137	778	1991	6262	
KO:K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	75	53	19	12	7	62	67	58	57	105	11	30	35	28	79	56	30	26	63	64	42	73	60	50	115	49	35	42	48	55	22	8	45	63	74	46	
KO:K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	11109	7898	5044	5123	6684	8353	8425	9128	5699	10511	2588	5025	8505	5900	6854	4504	4090	5988	7756	6417	4079	6125	7038	3932	8422	5923	5300	3839	11116	8757	3094	4834	5550	5466	9003	6459	
KO:K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	1932	1320	922	724	773	1024	1514	1663	946	1737	481	802	1520	644	774	924	771	526	1473	1130	458	1533	1406	637	1628	932	691	469	2144	1215	648	663	1060	1052	1639	523	
KO:K00113	glycerol-3-phosphate dehydrogenase subunit C	3157	2109	1734	2131	3007	3667	3102	3443	2746	3064	991	1859	2704	3191	3710	1688	1511	3399	2352	3015	2303	1898	2714	2014	2562	2636	2602	2179	4096	3981	1062	2035	2322	1822	3500	3082	
KO:K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	1133	782	796	1949	5270	5064	1296	1961	1821	1390	476	891	1414	5278	6132	766	925	6205	1108	2856	3883	128	3439	3442	239	2865	3689	3161	1611	4466	444	3347	1108	814	2145	7005	
KO:K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	131	80	52	145	253	337	82	142	219	65	5	251	56	250	359	27	73	286	89	84	164	57	138	89	29	148	283	215	111	332	28	220	96	74	153	302	
KO:K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	241	181	182	675	2640	2637	436	411	725	337	164	314	268	2272	3001	174	152	3374	194	864	1781	53	921	1504	112	1012	1683	1265	490	1844	51	1354	268	158	620	3732	
KO:K00118	glucose-fructose oxidoreductase [EC:1.1.99.28]	225	53	14	8	43	59	62	98	101	97	5	127	38	40	82	13	7	36	98	33	12	77	61	37	82	37	14	14	106	127	6	21	17	22	65	23	
KO:K00119	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]	110	34	29	23	17	26	40	16	4	79	15	19	48	14	43	32	5	34	64	28	10	51	45	5	105	17	9	11	15	54	0	0	34	16	36	18	
KO:K00120	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]	191	33	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	27	0	0	134	0	0	152	0	0	0	0	0	0	0	0	0	0	0	
KO:K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	2809	1386	1134	1847	3249	3893	1679	2019	1705	3488	922	1064	2650	3073	3393	1660	1389	3913	2452	2175	2263	1887	2305	1888	3155	2144	2566	1754	2348	3279	669	1826	1331	1332	2439	3922	
KO:K00122	formate dehydrogenase [EC:1.17.1.9]	122	178	95	180	305	353	234	246	172	322	128	101	322	260	457	200	213	382	247	289	293	12	368	261	108	250	222	221	290	289	112	299	206	203	329	432	
KO:K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	14137	9897	9067	10449	13473	15711	15058	16919	12770	18673	5698	12581	15275	15096	16528	9539	10725	15218	11813	15683	12690	10921	16737	11321	11593	13592	12373	10172	19962	19821	5971	12150	11923	11019	19437	15927	
KO:K00124	formate dehydrogenase iron-sulfur subunit	4539	3281	3185	4021	5498	6370	5118	6046	4783	6258	1730	5036	5507	6018	6828	3256	3886	6168	4063	6104	4817	4119	6157	3949	3952	5164	5349	4085	7803	8216	1920	4505	3741	4037	6988	6158	
KO:K00125	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	8640	5941	4481	2671	2613	2139	7065	6781	3287	8420	2487	4004	7721	3116	3006	4102	4135	2113	6733	6270	2789	5681	6412	3322	7215	3861	2104	1897	9328	4405	3306	3242	4773	5593	7660	2467	
KO:K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	172	138	106	239	347	398	257	346	348	406	138	197	223	381	475	124	145	405	158	229	282	5	309	182	72	336	320	236	386	537	83	221	171	120	275	448	
